"region_id" "fish_id" "year_class" "station_id" "age_range" "d13c" "d18o"
"64" "JP" "2014_9_HH_T9_4L" 2014 "2014_T9" "E" -6.827710829 0.212017106
"65" "JP" "2014_9_HH_T9_4L" 2014 "2014_T9" "F" -6.587061372 0.010825463
"66" "JP" "2014_9_HH_T9_4L" 2014 "2014_T9" "G" -6.056276127 0.099037209
"67" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "A" -8.154819924 -0.498832257
"68" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "B" -7.825789847 -0.222521371
"69" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "C" -8.484523651 -0.306765086
"70" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "D" -8.24810635 -0.45860682
"71" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "E" -7.485034051 -0.371520026
"72" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "F" -7.084366622 -0.22759018
"73" "JP" "2014_9_HH_T9_5R" 2014 "2014_T9" "G" -6.806343414 -0.263762065
"74" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "A" -5.863529714 -0.022946953
"75" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "B" -7.978415077 0.249712765
"76" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "C" -8.860997435 0.25833503
"77" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "D" -7.308062718 -0.049529396
"78" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "E" -6.082246653 0.371910586
"79" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "F" -5.976107537 0.428114021
"80" "JP" "2014_9_HH_T13_1R" 2014 "2014_T13" "G" -6.246942249 0.201535264
"81" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "A" -5.330009203 0.374456286
"82" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "B" -5.96423665 0.380069455
"83" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "C" -6.988289873 0.276254052
"84" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "D" -7.12776287 0.207084084
"85" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "E" -6.96513037 0.208139718
"86" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "F" -5.983453672 0.243754961
"87" "JP" "2014_9_HH_T13_4R" 2014 "2014_T13" "G" -5.590109416 0.310213806
"88" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "A" -5.379013609 0.31156554
"89" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "B" -6.704165648 0.330458658
"90" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "C" -8.222911258 -0.124325968
"91" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "D" -7.978809991 0.184833248
"92" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "E" -7.003472586 0.266644523
"93" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "F" -6.314132145 0.00894008
"94" "JP" "2014_9_HH_T13_5L" 2014 "2014_T13" "G" -6.288847116 0.243689675
"95" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "A" -5.492287663 0.533649528
"96" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "B" -6.388165101 0.192693928
"97" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "C" -7.776935837 0.079231901
"98" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "D" -7.877954135 0.06870441
"99" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "E" -8.008449208 0.214462965
"100" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "F" -7.176598907 0.050390582
"101" "JP" "2014_9_HH_T13_10R" 2014 "2014_T13" "G" -6.213938735 0.209402951
"102" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "A" -5.915913472 0.198726364
"103" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "B" -6.680774863 0.29209402
"104" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "C" -8.298944062 0.231955744
"105" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "D" -8.40858484 0.446043984
"106" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "E" -7.678575269 0.173204011
"107" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "F" -6.850032949 0.175725121
"108" "JP" "2014_9_HH_T13_13R" 2014 "2014_T13" "G" -7.434673293 0.072689256
"109" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "A" -6.508519555 0.197275432
"110" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "B" -6.375411321 0.01942594
"111" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "C" -8.086299776 -0.22930989
"112" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "D" -8.023709943 -0.073118252
"113" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "E" -7.240993499 -0.03542975
"114" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "F" -6.443810552 0.00469368
"115" "JP" "2014_9_HH_T13_14R" 2014 "2014_T13" "G" -6.578632438 0.051391986
"116" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "A" -6.054391707 0.027412235
"117" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "B" -7.580443153 -0.04485743
"118" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "C" -8.456242532 0.031205107
"119" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "D" -8.078113036 0.170501374
"120" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "E" -7.443360288 0.188451842
"121" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "F" -6.599513986 -0.130841326
"122" "JP" "2014_9_HH_T14_9L" 2014 "2014_T14" "G" -6.4626031 0.241724152
"123" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "A" -6.283861508 0.061323795
"124" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "B" -7.480128085 0.333501246
"125" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "C" -8.342963844 0.14490129
"126" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "D" -8.051228445 0.133755622
"127" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "E" -7.17362585 0.130147583
"128" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "F" -6.443006924 0.281836207
"129" "JP" "2014_9_HH_T14_10L" 2014 "2014_T14" "G" -6.112768869 0.268820689
"130" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "A" -5.461814069 0.317795252
"131" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "B" -8.192209006 0.355849293
"132" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "C" -8.74602339 0.068257881
"133" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "D" -7.703055559 0.108760289
"134" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "E" -7.075181554 -0.281442507
"135" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "F" -6.756450867 -0.062887974
"136" "JP" "2014_9_HH_T14_11L" 2014 "2014_T14" "G" -6.222412882 -0.050235514
