"fish_id" "distance" "sr8786" "location"
"116" "Ma1" 2875 0.715742862963785 "Mamore"
"117" "Ma1" 2900 0.715766231913824 "Mamore"
"118" "Ma1" 2925 0.71556545615262 "Mamore"
"119" "Ma1" 2950 0.715832745157919 "Mamore"
"120" "Ma1" 2975 0.716108091544301 "Mamore"
"121" "Ma1" 3000 0.716639280937387 "Mamore"
"122" "Ma1" 3025 0.71656492631929 "Mamore"
"123" "Ma1" 3050 0.716640605829222 "Mamore"
"124" "Ma1" 3075 0.716894149389301 "Mamore"
"125" "Ma1" 3100 0.71715221482569 "Mamore"
"126" "Ma1" 3125 0.71736159181192 "Mamore"
"127" "Ma1" 3150 0.717564469693451 "Mamore"
"128" "Ma1" 3175 0.717982126290535 "Mamore"
"129" "Ma1" 3200 0.717481897938236 "Mamore"
"130" "Ma1" 3225 0.717221050539827 "Mamore"
"131" "Ma1" 3250 0.717116233244315 "Mamore"
"132" "Ma1" 3275 0.717612472374469 "Mamore"
"133" "Ma1" 3300 0.717943549628656 "Mamore"
"134" "Ma1" 3325 0.718294301655789 "Mamore"
"135" "Ma1" 3350 0.718970498052089 "Mamore"
"136" "Ma1" 3375 0.718808023960881 "Mamore"
"137" "Ma1" 3400 0.718998190931332 "Mamore"
"138" "Ma1" 3425 0.719070545509971 "Mamore"
"139" "Ma1" 3450 0.719065874463297 "Mamore"
"140" "Ma1" 3475 0.719104921372293 "Mamore"
"141" "Ma1" 3500 0.719405558725604 "Mamore"
"142" "Ma1" 3525 0.719792193504779 "Mamore"
"143" "Ma1" 3550 0.719580562088489 "Mamore"
"144" "Ma1" 3575 0.719571091518592 "Mamore"
"145" "Ma1" 3600 0.71981856901837 "Mamore"
"146" "Ma1" 3625 0.719829533234245 "Mamore"
"147" "Ma1" 3650 0.719596857108541 "Mamore"
"148" "Ma1" 3675 0.719502976764892 "Mamore"
"149" "Ma1" 3700 0.719712876736508 "Mamore"
"150" "Ma1" 3725 0.719648637027483 "Mamore"
"151" "Ma1" 3750 0.719793178916582 "Mamore"
"152" "Ma1" 3775 0.720038359984418 "Mamore"
"153" "Ma1" 3800 0.719868390862779 "Mamore"
"154" "Ma1" 3825 0.720159604678874 "Mamore"
"155" "Ma1" 3850 0.720310676742736 "Mamore"
"156" "Ma1" 3875 0.720135170663025 "Mamore"
"157" "Ma1" 3900 0.720340800741047 "Mamore"
"158" "Ma1" 3925 0.720676328364407 "Mamore"
"159" "Ma1" 3950 0.720264868613397 "Mamore"
"160" "Ma1" 3975 0.7201223748141 "Mamore"
"161" "Ma1" 4000 0.720336320979072 "Mamore"
"162" "Ma1" 4025 0.720472147655631 "Mamore"
"163" "Ma1" 4050 0.720676337203216 "Mamore"
"164" "Ma1" 4075 0.720980673570131 "Mamore"
"165" "Ma1" 4100 0.720891020411121 "Mamore"
"166" "Ma1" 4125 0.721258982434593 "Mamore"
"167" "Ma1" 4150 0.721037486471773 "Mamore"
"168" "Ma1" 4175 0.72068716458193 "Mamore"
"169" "Ma1" 4200 0.720611914087958 "Mamore"
"170" "Ma1" 4225 0.720697024195538 "Mamore"
"171" "Ma1" 4250 0.720744367077879 "Mamore"
"172" "Ma1" 4275 0.720910096901933 "Mamore"
"173" "Ma1" 4300 0.720831317922679 "Mamore"
"174" "Ma1" 4325 0.720967581707038 "Mamore"
"175" "Ma1" 4350 0.721372738167333 "Mamore"
"176" "Ma1" 4375 0.720808277498341 "Mamore"
"177" "Ma2" 0 0.717882316687261 "Mamore"
"178" "Ma2" 25 0.718678585297355 "Mamore"
"179" "Ma2" 50 0.71762805823409 "Mamore"
"180" "Ma2" 75 0.717487024468359 "Mamore"
"181" "Ma2" 100 0.715068899977869 "Mamore"
"182" "Ma2" 125 0.713965927533133 "Mamore"
"183" "Ma2" 150 0.713952356229518 "Mamore"
"184" "Ma2" 175 0.713097520232011 "Mamore"
