"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"168" 168 "Raster64" "2017-12-13" 6 8 40 20 4 6 "HB-S / 436 / R / 8H" "9" 4235.1 3157029.4 19527.1 12673284.5 14270.4 96.4
"169" 169 "MACS-3 24" "2017-12-13" 6 9 41 1 1 NA NA NA 220105.7 2024057.9 939931.3 15558795.4 130385.1 82600.9
"170" 170 "Blank24" "2017-12-13" 6 9 42 2 2 NA NA NA 347.4 7855.4 18782 13558.5 110.2 75.7
"171" 171 "Line65" "2017-12-13" 6 9 43 3 3 8 "AB / 1782 / L / 9A" "11.2" 12825.7 3483963.3 20165.7 12241275.5 20223.4 163.8
"172" 172 "Raster65" "2017-12-13" 6 9 44 4 4 8 "AB / 1782 / L / 9A" "11.2" 14716 2845800.5 22711.7 8431049.1 17882.2 248.2
"173" 173 "Line66" "2017-12-13" 6 9 45 5 3 7 "HB-B / 405 / L / 9B" "14" 2414.5 3429556.5 19407.4 10616505 11912.4 168.4
"174" 174 "Raster66" "2017-12-13" 6 9 46 6 4 7 "HB-B / 405 / L / 9B" "14" 2001 2867397.6 19833.3 8952811.1 14032.6 113.7
"175" 175 "Line67" "2017-12-13" 6 9 47 7 3 3 "EF / 162 / R / 9C" "18" 1465 2965876.1 19267.6 17015828.4 19863.5 153.6
"176" 176 "Raster67" "2017-12-13" 6 9 48 8 4 3 "EF / 162 / R / 9C" "18" 1430.7 2523117.6 19994.7 10450640.5 10157.2 115
"177" 177 "Line68" "2017-12-13" 6 9 49 9 3 2 "WF-B / 3565 / R / 9D" "13.4" 3467.3 2841621.2 19305.1 10803653.5 18319.9 127.6
"178" 178 "Raster68" "2017-12-13" 6 9 50 10 4 2 "WF-B / 3565 / R / 9D" "13.4" 3391.1 3302765.4 19146.9 13595854.7 14590.2 91.5
"179" 179 "MACS-3 25" "2017-12-13" 6 9 51 11 1 NA NA NA 170261.4 1722665 797127 12450444.6 109563 73591.4
"180" 180 "Blank25" "2017-12-13" 6 9 52 12 2 NA NA NA 315.9 7927.7 19003.5 14187.4 105.6 78.2
"181" 181 "Line69" "2017-12-13" 6 9 53 13 3 6 "HB-S / 433 / L / 9E" "10.1" 9098.5 2991016.3 19718.7 11282681.3 10273 98.9
"182" 182 "Raster69" "2017-12-13" 6 9 54 14 4 6 "HB-S / 433 / L / 9E" "10.1" 1830.1 2823250.7 20028.9 13137959.8 15633.8 93.3
"183" 183 "Line70" "2017-12-13" 6 9 55 15 3 4 "CL-S / 2099 / L / 9F" "9" 10088 3550260 19656.6 11348780.3 20352.2 218.2
"184" 184 "Raster70" "2017-12-13" 6 9 56 16 4 4 "CL-S / 2099 / L / 9F" "9" 8137 2845812.5 20955.3 8935064.1 18236.2 549.1
"185" 185 "Line71" "2017-12-13" 6 9 57 17 3 1 "WF-S / 3595 / L / 9G" "12" 9112.3 3048878.9 21087.3 10485716.8 14909.4 148
"186" 186 "Raster71" "2017-12-13" 6 9 58 18 4 1 "WF-S / 3595 / L / 9G" "12" 8109.6 3099624.4 20035.3 9884638 26625.5 275.3
"187" 187 "Line72" "2017-12-13" 6 9 59 19 3 5 "CL-B / 2078 / R / 9H" "13.3" 9326.4 2744824.3 18762.5 10395978.1 11187.8 111.9
"188" 188 "Raster72" "2017-12-13" 6 9 60 20 4 5 "CL-B / 2078 / R / 9H" "13.3" 13436.1 2997561.3 19760 12524251.1 11451.8 238.6
"189" 189 "MACS-3 26" "2017-12-13" 6 10 61 1 1 NA NA NA 176052.9 1778459.1 805516.7 12474748.3 108942.9 73556.3
"190" 190 "Blank26" "2017-12-13" 6 10 62 2 2 NA NA NA 312.4 8016.6 18875.5 15102.2 110.7 74.5
"191" 191 "Line73" "2017-12-13" 6 10 63 3 3 4 "CL-S / 2053 / R / 10A" "10.5" 5574.8 3454839.6 19484.9 12642438.5 17473 120.6
"192" 192 "Raster73" "2017-12-13" 6 10 64 4 4 4 "CL-S / 2053 / R / 10A" "10.5" 3693.7 2659227.7 20227.9 11659137.3 10926.3 106
"193" 193 "Line74" "2017-12-13" 6 10 65 5 3 7 "HB-B / 411 / R / 10B" "14.8" 1792.8 3294643.3 19104.6 14668643.4 25357.8 118
"194" 194 "Raster74" "2017-12-13" 6 10 66 6 4 7 "HB-B / 411 / R / 10B" "14.8" 1909.5 3137328.2 20411.3 12378215.1 13065.8 147.1
"195" 195 "Line75" "2017-12-13" 6 10 67 7 3 6 "HB-S / 3374 / L / 10C" "12" 7014.9 3262242.9 19385.1 11105659.5 14964 146.3
"196" 196 "Raster75" "2017-12-13" 6 10 68 8 4 6 "HB-S / 3374 / L / 10C" "12" 4553.7 3126949.4 19458.5 12756092.7 14661 84.9
"197" 197 "Line76" "2017-12-13" 6 10 69 9 3 3 "EF / 170 / R / 10D" "16.5" 4714.3 3230921.2 19396.4 11468295.1 8210.6 169.1
"198" 198 "Raster76" "2017-12-13" 6 10 70 10 4 3 "EF / 170 / R / 10D" "16.5" 2556.5 2936103.7 19382 13736816 15843.9 140.9
"199" 199 "MACS-3 27" "2017-12-13" 6 10 71 11 1 NA NA NA 207169.2 1991343.2 907306.9 14591831.7 123769.1 81341.8
"200" 200 "Blank27" "2017-12-13" 6 10 72 12 2 NA NA NA 328.1 8134.3 18838.1 16456.1 111 146.2
"201" 201 "Line77" "2017-12-13" 6 10 73 13 3 8 "AB / 1797 / L / 10E" "12" 3696.3 3134252.3 19073.4 11458349.4 16760 110.8
"202" 202 "Raster77" "2017-12-13" 6 10 74 14 4 8 "AB / 1797 / L / 10E" "12" 3957.8 3134824.3 19336 12344645.3 10809.9 100.6
"203" 203 "Line78" "2017-12-13" 6 10 75 15 3 1 "WF-S / 1127 / L / 10F" "10" 6353.4 2659517.9 19204.6 9227564.5 15417.9 131
"204" 204 "Raster78" "2017-12-13" 6 10 76 16 4 1 "WF-S / 1127 / L / 10F" "10" 3579.2 3153602.7 19129.7 12778350 12972.5 99.4
"205" 205 "Line79" "2017-12-13" 6 10 77 17 3 2 "WF-B / 3861 / L / 10G" "17" 4724.1 3102414.2 19701 11195461.2 16298.6 662.5
"206" 206 "Raster79" "2017-12-13" 6 10 78 18 4 2 "WF-B / 3861 / L / 10G" "17" 4547.1 3142428.7 24252.8 13145843.4 21391 1022
"207" 207 "Line80" "2017-12-13" 6 10 79 19 3 5 "CL-B / 2050 / R / 10H" "16.2" 3428.5 2461883.1 18747.2 9772898.3 10705.6 111.3
"208" 208 "Raster80" "2017-12-13" 6 10 80 20 4 5 "CL-B / 2050 / R / 10H" "16.2" 3318 3089876.1 21819.1 13121090.5 25663.7 531.8
"209" 209 "MACS-3 28" "2017-12-13" 6 10 81 21 1 NA NA NA 212966.6 2125443.2 936382.6 15356565.5 130727.8 83880.6
"210" 210 "Blank28" "2017-12-13" 6 10 82 22 2 NA NA NA 315.2 8133.5 19065.4 16688.6 114.6 79.4
"211" 211 "MACS-3 29" "2017-12-13" 7 11 1 1 1 NA NA NA 243319.2 2352624.5 1068875 17185875 147074.9 91338.7
"212" 212 "Blank29" "2017-12-13" 7 11 2 2 2 NA NA NA 320 7468.7 17944.6 9762.8 114.8 73.2
"213" 213 "Line81" "2017-12-13" 7 11 3 3 3 4 "CL-S / 2083 / L / 11A" "10.5" 2608.5 1260717.9 19551.6 4812159.3 11416.2 193.3
"214" 214 "Raster81" "2017-12-13" 7 11 4 4 4 4 "CL-S / 2083 / L / 11A" "10.5" 1471.9 946978.3 18323.9 3679978.7 15159.7 207.2
"215" 215 "Line82" "2017-12-13" 7 11 5 5 3 6 "HB-S / 426 / R / 11B" "10.199999999999999" 3774.6 3254636.2 19249.8 12920628.9 17705.5 265.7
"216" 216 "Raster82" "2017-12-13" 7 11 6 6 4 6 "HB-S / 426 / R / 11B" "10.199999999999999" 4565.3 2741413 19626.1 10398046.1 15069.8 117.8
"217" 217 "Line83" "2017-12-13" 7 11 7 7 3 7 "HB-B / 444 / R / 11C" "18.5" 6887.5 3466258.3 18453.6 20004998.1 30531.1 98.4
"218" 218 "Raster83" "2017-12-13" 7 11 8 8 4 7 "HB-B / 444 / R / 11C" "18.5" 7768.6 2198880.6 18923.7 8825596.1 9263.7 141.4
"219" 219 "Line84" "2017-12-13" 7 11 9 9 3 8 "AB / 1776 / L / 11D" "10.8" 6796.1 3318060.5 18988.9 12974960.6 15439.5 127.1
"220" 220 "Raster84" "2017-12-13" 7 11 10 10 4 8 "AB / 1776 / L / 11D" "10.8" 10619.6 2839154.3 19184.7 9191120.2 12338.8 92.5
"221" 221 "MACS-3 30" "2017-12-13" 7 11 10 10 1 NA NA NA 252795.3 2379776.9 1102640.8 18011190.1 154428.7 97623.4
"222" 222 "Blank30" "2017-12-13" 7 11 10 10 2 NA NA NA 307.1 7894.5 17993.7 11493 103.3 77.3
"223" 223 "Line85" "2017-12-13" 7 11 11 11 3 3 "EF / 243 / L / 11E" "16.8" 16881.7 3398662.4 19562.9 12747088.6 16718.5 137.3
"224" 224 "Raster85" "2017-12-13" 7 11 12 12 4 3 "EF / 243 / L / 11E" "16.8" 48946.3 3172566.1 20104 9976976.4 20471.6 138.7
"225" 225 "Line86" "2017-12-13" 7 11 13 13 3 1 "WF-S / 1116 / L / 11F" "10" 4079.5 2935130.4 19178.4 9118727.9 25666.6 376.5
"226" 226 "Raster86" "2017-12-13" 7 11 14 14 4 1 "WF-S / 1116 / L / 11F" "10" 3879.2 3222877.3 21369.4 11013597.1 15663.3 182.5
"227" 227 "Line87" "2017-12-13" 7 11 15 15 3 2 "WF-B / 1131 / L / 11G" "16.5" 2492.4 2922895.2 19086.2 10547359.9 12007.4 380.8
"228" 228 "Raster87" "2017-12-13" 7 11 16 16 4 2 "WF-B / 1131 / L / 11G" "16.5" 1825.4 2448804.3 19070.9 8929578.9 8232.7 189.1
"229" 229 "Line88" "2017-12-13" 7 11 17 17 3 5 "CL-B / 2070 / R / 11H" "14.8" 4053.6 2384954.4 18176.2 8445206.1 17511.1 93.2
"230" 230 "Raster88" "2017-12-13" 7 11 18 18 4 5 "CL-B / 2070 / R / 11H" "14.8" 2649.2 2684780.6 22315.3 9773319.3 18180.4 151.9
"231" 231 "MACS-3 31" "2017-12-13" 7 12 19 1 1 NA NA NA 224937 2153777.8 1001227.3 16210086.9 137920.1 86754.1
"232" 232 "Blank31" "2017-12-13" 7 12 20 2 2 NA NA NA 305.9 8060.9 18592.5 12309.6 108.2 76.6
"233" 233 "Line89" "2017-12-13" 7 12 21 3 3 5 "CL-B / 2060 / L / 12A" "14.8" 3288.9 3363953.9 19671.5 10949787.3 23911.1 115.2
"234" 234 "Raster89" "2017-12-13" 7 12 22 4 4 5 "CL-B / 2060 / L / 12A" "14.8" 8624.2 3428161.8 42961.3 15054426.2 18817.5 2950.3
"235" 235 "Line90" "2017-12-13" 7 12 23 5 3 7 "HB-B / 414 / R / 12B" "13.8" 6283.8 3282182.3 20125 10506764.8 13659.2 341.7
"236" 236 "Raster90" "2017-12-13" 7 12 24 6 4 7 "HB-B / 414 / R / 12B" "13.8" 7687.9 2869315.8 28593.7 11711542.1 14400.4 1611.9
"237" 237 "Line91" "2017-12-13" 7 12 25 7 3 6 "HB-S / 422 / L / 12C" "11.5" 4914.7 2293733.9 19577.7 8705965.6 6892.9 367
"238" 238 "Raster91" "2017-12-13" 7 12 26 8 4 6 "HB-S / 422 / L / 12C" "11.5" 4060.5 3041539 19506.6 10158161.4 34159.1 260.9
"239" 239 "Line92" "2017-12-13" 7 12 27 9 3 8 "AB / 1799 / L / 12D" "11.5" 4425.9 2466941 19404.2 8482008.5 13092.8 106.2
"240" 240 "Raster92" "2017-12-13" 7 12 28 10 4 8 "AB / 1799 / L / 12D" "11.5" 4912.9 2379311.8 20353.7 8276297 10911.4 329.3
"241" 241 "MACS-3 32" "2017-12-13" 7 12 29 11 1 NA NA NA 227150.2 2263507.2 1034336.9 16570336.1 142299.1 90588.4
"242" 242 "Blank32" "2017-12-13" 7 12 30 12 2 NA NA NA 341.5 8115.8 18706 13135.1 122.3 89.2
"243" 243 "Line93" "2017-12-13" 7 12 31 13 3 4 "CL-S / 2077 / R / 12E" "9.8000000000000007" 5236.1 3495326.9 19777.2 11835995.3 16792.1 115.5
"244" 244 "Raster93" "2017-12-13" 7 12 32 14 4 4 "CL-S / 2077 / R / 12E" "9.8000000000000007" 7907.7 2584356.7 19687.9 7198617.1 11396 121.4
"245" 245 "Line94" "2017-12-13" 7 12 33 15 3 1 "WF-S / 3776 / R / 12F" "10" 5931.8 3550285.6 19485.1 13539731.6 15385.4 180.6
"246" 246 "Raster94" "2017-12-13" 7 12 34 16 4 1 "WF-S / 3776 / R / 12F" "10" 5246.2 2545038.6 19208.4 10467999 10133.9 248.1
"247" 247 "Line95" "2017-12-13" 7 12 35 17 3 2 "WF-B / 1139 / L / 12G" "18.5" 6508.3 3858343.5 18718.9 15475353.9 17470.8 103.6
"248" 248 "Raster95" "2017-12-13" 7 12 36 18 4 2 "WF-B / 1139 / L / 12G" "18.5" 7696.7 3080105.4 20723.3 14294134.2 13385.8 355.1
"249" 249 "Line96" "2017-12-13" 7 12 37 19 3 3 "EF / 165 / R / 12H" "18.5" 5792.2 2790782.6 18559.8 16028074.1 18901 114
"250" 250 "Raster96" "2017-12-13" 7 12 38 20 4 3 "EF / 165 / R / 12H" "18.5" 10099.2 2985475 20568.7 11958522.1 14020.4 207.9
"251" 251 "MACS-3 33" "2017-12-13" 7 13 39 1 1 NA NA NA 253831.4 2410615.7 1118874.1 18327852.9 151413.7 90479.5
"252" 252 "Blank33" "2017-12-13" 7 13 40 2 2 NA NA NA 322.8 8108.3 18519.3 14764.2 117 77.3
"253" 253 "Line97" "2017-12-13" 7 13 41 3 3 6 "HB-S / 3751 / R / 13A" "11" 10430 3099893.8 19702.1 13372326.2 18580.8 212.1
"254" 254 "Raster97" "2017-12-13" 7 13 42 4 4 6 "HB-S / 3751 / R / 13A" "11" 6936.4 1420224.3 19744.4 4245098 8765.4 128.5
"255" 255 "Line98" "2017-12-13" 7 13 43 5 3 5 "CL-B / 2067 / R / 13B" "14.6" 11726.3 4040863.6 19310.7 16684160.8 23993.7 172.7
"256" 256 "Raster98" "2017-12-13" 7 13 44 6 4 5 "CL-B / 2067 / R / 13B" "14.6" 12335.1 2897434.5 19815 12931411.2 12695 208.2
"257" 257 "Line99" "2017-12-13" 7 13 45 7 3 8 "AB / 1775 / R / 13C" "11.2" 4412.9 3609676.8 19454.1 11753855.6 19400.7 96.4
"258" 258 "Raster99" "2017-12-13" 7 13 46 8 4 8 "AB / 1775 / R / 13C" "11.2" 3450 2832686.5 19420.4 7618083.7 12823.5 92.2
"259" 259 "Line100" "2017-12-13" 7 13 47 9 3 4 "CL-S / 2112 / R / 13D" "12.5" 13016.6 3685326.2 20438.4 15188631.4 17486.3 141.7
"260" 260 "Raster100" "2017-12-13" 7 13 48 10 4 4 "CL-S / 2112 / R / 13D" "12.5" 11473.4 3105324.8 18942.8 12264512.5 12282.1 170.9
"261" 261 "MACS-3 34" "2017-12-13" 7 13 49 11 1 NA NA NA 263204.5 2493265.9 1140216.1 18531991.8 157209.3 95025.4
"262" 262 "Blank34" "2017-12-13" 7 13 50 12 2 NA NA NA 299.1 8155.9 18162.7 16103.3 109.8 65.9
"263" 263 "Line101" "2017-12-13" 7 13 51 13 3 3 "EF / 2302 / R / 13E" "12.5" 12928.8 3393445.1 18961.4 13701843.1 18578.2 119.9
"264" 264 "Raster101" "2017-12-13" 7 13 52 14 4 3 "EF / 2302 / R / 13E" "12.5" 5250.1 2758754.5 20214.4 11275093.6 14479.8 106.3
"265" 265 "Line102" "2017-12-13" 7 13 53 15 3 7 "HB-B / 407 / R / 13F" "15.2" 3326.6 3161355.5 18864.9 14381156.9 17757.9 112.8
"266" 266 "Raster102" "2017-12-13" 7 13 54 16 4 7 "HB-B / 407 / R / 13F" "15.2" 2523.9 3206723.9 18645.1 10291893.4 13252.2 297.6
"267" 267 "Line103" "2017-12-13" 7 13 55 17 3 2 "WF-B / 3795 / R / 13G" "16" 5375.3 3820718.6 18945.3 17845509.7 38995.7 93.1
"268" 268 "Raster103" "2017-12-13" 7 13 56 18 4 2 "WF-B / 3795 / R / 13G" "16" 8346.9 3027320.9 18981.8 9803919.2 11446.9 163.6
"269" 269 "Line104" "2017-12-13" 7 13 57 19 3 1 "WF-S / 1125 / L / 13H" "11.5" 4028.7 3584340.8 18542.1 13164303.7 17591.4 92.6
"270" 270 "Raster104" "2017-12-13" 7 13 58 20 4 1 "WF-S / 1125 / L / 13H" "11.5" 3507.2 2986055.8 18856.1 13518881.8 14477.6 88.2
"271" 271 "MACS-3 35" "2017-12-13" 7 14 59 1 1 NA NA NA 256993.4 2439133.2 1143850.8 18328132.3 158601.5 95456
"272" 272 "Blank35" "2017-12-13" 7 14 60 2 2 NA NA NA 298.3 8282.4 18684.8 16459.3 116.3 74.5
"273" 273 "Line106" "2017-12-13" 7 14 61 3 3 7 "HB-B / 399 / L / 14B" "19.3" 2937.6 3648601.4 19824.7 23627989.2 27454.1 131.4
"274" 274 "Raster106" "2017-12-13" 7 14 62 4 4 7 "HB-B / 399 / L / 14B" "19.3" 1245.4 3301081.3 19225.4 15013140.7 38685.5 115.3
"275" 275 "Line107" "2017-12-13" 7 14 63 5 3 1 "WF-S / 1128 / R / 14C" "12" 4072.1 3632658.1 18147.3 17501931 25121.8 102.2
"276" 276 "Raster107" "2017-12-13" 7 14 64 6 4 1 "WF-S / 1128 / R / 14C" "12" 2729.2 3472003.1 19799.7 10919554.6 20850.9 100.6
"277" 277 "Line108" "2017-12-13" 7 14 65 7 3 6 "HB-S / 428 / R / 14D" "9.5" 5853.4 3857342 21554.9 13276401.8 16183.4 129.2
"278" 278 "Raster108" "2017-12-13" 7 14 66 8 4 6 "HB-S / 428 / R / 14D" "9.5" 5612.3 3266810.4 19089 10050439.4 16316.7 131.7
"279" 279 "MACS-3 36" "2017-12-13" 7 14 67 9 1 NA NA NA 267218.1 2501494.8 1133670.8 18726198 156772.8 94780.2
"280" 280 "Blank36" "2017-12-13" 7 14 68 10 2 NA NA NA 310.5 8385.5 18347 17663.4 112.3 78.4
"281" 281 "Line109" "2017-12-13" 7 14 69 11 3 5 "CL-B / 2061 / L / 14E" "18.2" 3022.3 3280398.4 19436.1 13671178.8 14353.2 135.7
"282" 282 "Raster109" "2017-12-13" 7 14 70 12 4 5 "CL-B / 2061 / L / 14E" "18.2" 2431.7 3045529.1 19371.6 10900024.1 29640.7 103.9
"283" 283 "Line110" "2017-12-13" 7 14 71 13 3 8 "AB / 1780 / L / 14F" "11" 8241.7 3383243 19302.5 11459520.9 22837.1 118.7
"284" 284 "Raster110" "2017-12-13" 7 14 72 14 4 8 "AB / 1780 / L / 14F" "11" 8378.3 2513491.7 19575.3 8785021.4 17270.1 114.4
"285" 285 "Line111" "2017-12-13" 7 14 73 15 3 3 "EF / 244 / L / 14G" "19.5" 1946.2 3179907.2 19094 17903494.2 22993.6 122.6
"286" 286 "Raster111" "2017-12-13" 7 14 74 16 4 3 "EF / 244 / L / 14G" "19.5" 3470.5 2374190.9 20104.4 7122762.9 12978.6 174
"287" 287 "Line112" "2017-12-13" 7 14 75 17 3 2 "WF-B / 3711 / R / 14H" "14" 5774.8 3155827.4 18598.9 13520936.5 25156.8 103.2
"288" 288 "Raster112" "2017-12-13" 7 14 76 18 4 2 "WF-B / 3711 / R / 14H" "14" 5306.5 3000275.5 21972.7 13871068.1 15162.7 461.8
"289" 289 "MACS-3 37" "2017-12-13" 7 14 77 19 1 NA NA NA 274344.3 2575521.1 1166999.8 19180182.3 167987 97375.7
"290" 290 "Blank37" "2017-12-13" 7 14 78 20 2 NA NA NA 304.2 8334.9 18218.2 18419.6 112.7 78.7
"291" 291 "MACS-3_38" "2017-12-14" 8 15 1 1 1 NA NA NA 240027.8 2549194.9 1320462.5 22098791 248298 191404.9
"292" 292 "Blank_38" "2017-12-14" 8 15 2 2 2 NA NA NA 370.1 8545.1 20789.5 5141.4 13391.1 84.8
"293" 293 "Line113" "2017-12-14" 8 15 3 3 3 4 "CL-S / 2081 / R / 15A" "10.4" 15859.5 2843021.3 22579.4 9957010.1 29179.2 409.2
"294" 294 "Raster113" "2017-12-14" 8 15 4 4 4 4 "CL-S / 2081 / R / 15A" "10.4" 13399.8 3095159.2 21642.7 14130714 27213.7 143.8
"295" 295 "Line114" "2017-12-14" 8 15 5 5 3 7 "HB-B / 416 / L / 15B" "14.8" 7255.9 3506829.2 21226.9 13216244.1 29612.1 183.7
"296" 296 "Raster114" "2017-12-14" 8 15 6 6 4 7 "HB-B / 416 / L / 15B" "14.8" 7329.6 3008413.6 21986.5 9375092.9 38494.2 133.4
"297" 297 "Line115" "2017-12-14" 8 15 7 7 3 6 "HB-S / 424 / L / 15C" "10.5" 7636 3005851.1 21856.4 8896191.7 26154 551.6
"298" 298 "Raster115" "2017-12-14" 8 15 8 8 4 6 "HB-S / 424 / L / 15C" "10.5" 4477.7 2112049.2 21459.7 8266513.8 21559.1 124.5
"299" 299 "Line116" "2017-12-14" 8 15 9 9 3 1 "WF-S / 3737 / L / 15D" "11" 9195.1 3519102.3 21695.7 13590674.4 39922.7 133.5
"300" 300 "Raster116" "2017-12-14" 8 15 10 10 4 1 "WF-S / 3737 / L / 15D" "11" 7751.7 3425627.5 22188.9 13677722.8 48356.5 168.5
"301" 301 "MACS-3_39" "2017-12-14" 8 15 11 11 1 NA NA NA 119836.9 1352437.4 688933.2 10210697.3 127793.5 96970.7
"302" 302 "Blank_39" "2017-12-14" 8 15 12 12 2 NA NA NA 368.3 9597.4 21239.2 6444.2 14449 88.7
"303" 303 "Line117" "2017-12-14" 8 15 13 13 3 5 "CL-B / 2059 / L / 15E" "14.4" 4304.7 3940952.6 21963.9 12647672 33519.4 108.8
"304" 304 "Raster117" "2017-12-14" 8 15 14 14 4 5 "CL-B / 2059 / L / 15E" "14.4" 1934.4 3229554.8 25400.7 10142453.5 31851.6 122.2
"305" 305 "Line118" "2017-12-14" 8 15 15 15 3 8 "AB / 1801 / L / 15F" "11.2" 6425.3 3974158.4 21586.2 14583023.1 41584.5 129.7
"306" 306 "Raster118" "2017-12-14" 8 15 16 16 4 8 "AB / 1801 / L / 15F" "11.2" 2794.4 3171725.5 22092.5 11760853.2 30508.7 111.7
"307" 307 "Line119" "2017-12-14" 8 15 17 17 3 3 "EF / 173 / L / 15G" "10.5" 5085.3 2897620.8 23095.3 7793942.2 26784.9 121.3
"308" 308 "Raster119" "2017-12-14" 8 15 18 18 4 3 "EF / 173 / L / 15G" "10.5" 5398.1 3388218.3 21977.4 11051711.7 39338.9 131
"309" 309 "Line120" "2017-12-14" 8 15 19 19 3 2 "WF-B / 1141 / L / 15H" "17.5" 3387.5 3875220.4 21134.5 14413430.3 36736.2 109.3
"310" 310 "Raster120" "2017-12-14" 8 15 20 20 4 2 "WF-B / 1141 / L / 15H" "17.5" 3101.3 3422045.1 21357 15522320.9 29692.7 113.4
"311" 311 "MACS-3_40" "2017-12-14" 8 16 21 1 1 NA NA NA 215605.1 2336934.2 1235989.9 18256461.9 228451.9 171344.3
"312" 312 "Blank_40" "2017-12-14" 8 16 22 2 2 NA NA NA 389.5 9767.3 21636.6 8079.8 15134.1 87.7
"313" 313 "Line121" "2017-12-14" 8 16 23 3 3 4 "CL-S / 2063 / R / 16A" "9.8000000000000007" 6200.9 3791006.8 21971.9 11080016.2 38810 178.5
"314" 314 "Raster121" "2017-12-14" 8 16 24 4 4 4 "CL-S / 2063 / R / 16A" "9.8000000000000007" 3349.6 3393468.1 21337.3 13915810.7 30661.3 127.8
"315" 315 "Line122" "2017-12-14" 8 16 25 5 3 3 "EF / 245 / R / 16B" "20" 2968.2 4197606.2 21498 13752936.1 29888 378.8
"316" 316 "Raster122" "2017-12-14" 8 16 26 6 4 3 "EF / 245 / R / 16B" "20" 1948.1 2721263.6 22260.3 9143750.5 26136.4 227.6
"317" 317 "Line123" "2017-12-14" 8 16 27 7 3 7 "HB-B / 442 / L / 16C" "21.5" 2248 3832694.8 21415.6 15578044.4 28219 154.4
"318" 318 "Raster123" "2017-12-14" 8 16 28 8 4 7 "HB-B / 442 / L / 16C" "21.5" 1385.6 3221262.8 21817.4 13336746.7 36329.7 130.1
"319" 319 "Line124" "2017-12-14" 8 16 29 9 3 8 "AB / 1796 / R / 16D" "12.2" 24454.5 3923947 22133.3 13048464.8 30714.3 153.8
"320" 320 "Raster124" "2017-12-14" 8 16 30 10 4 8 "AB / 1796 / R / 16D" "12.2" 20931.7 3917020.6 22135.8 12812991.2 40450.2 159.7
"321" 321 "MACS-3 41" "2017-12-14" 8 16 31 11 1 NA NA NA 180098.4 1887983 938364.2 14558062.4 166016.8 119125
"322" 322 "Blank41" "2017-12-14" 8 16 32 12 2 NA NA NA 374.2 9720.8 21059.2 9242.4 15054.3 92
"323" 323 "Line125" "2017-12-14" 8 16 33 13 3 6 "HB-S / 423 / R / 16E" "11" 49552.6 4083536.2 24699.9 13589294.3 40875.7 700
"324" 324 "Raster125" "2017-12-14" 8 16 34 14 4 6 "HB-S / 423 / R / 16E" "11" 23083.4 3056952.5 21569.4 8517873.7 37732.8 140.1
"325" 325 "Line126" "2017-12-14" 8 16 35 15 3 2 "WF-B / 1114 / R / 16F" "14" 3034.5 3773742.2 21650.7 16437072.4 47504 109.4
"326" 326 "Raster126" "2017-12-14" 8 16 36 16 4 2 "WF-B / 1114 / R / 16F" "14" 2241.7 3610172.7 21658.9 12192889.8 47052.8 115
"327" 327 "Line127" "2017-12-14" 8 16 37 17 3 5 "CL-B / 2062 / R / 16G" "13.3" 6709.8 3557398.3 21221.4 12328382.1 40046.4 144.2
"328" 328 "Raster127" "2017-12-14" 8 16 38 18 4 5 "CL-B / 2062 / R / 16G" "13.3" 8502.7 3149881.4 21642.2 12992377.7 30856.8 129.7
"329" 329 "Line28" "2017-12-14" 8 16 39 19 3 1 "WF-S / 3591 / R / 16H" "10" 9367 3992772.8 21423.3 16032613.7 40053.3 128.6
"330" 330 "Raster128" "2017-12-14" 8 16 40 20 4 1 "WF-S / 3591 / R / 16H" "10" 17586.6 3705908.6 22366.8 12177450.4 35812.8 232.3
"331" 331 "MACS-3 42" "2017-12-14" 8 17 41 1 1 NA NA NA 176284.7 1940153.7 931729.3 14041924.9 162711.1 116368
"332" 332 "Blank42" "2017-12-14" 8 17 42 2 2 NA NA NA 356.5 9592.8 20682.8 10798.1 14949.1 97.1
"333" 333 "Line129" "2017-12-14" 8 17 43 3 3 4 "CL-S / 2066 / R / 17A" "11.4" 6205.4 3836717.6 21265.9 17198382.4 29200.1 119.1
"334" 334 "Raster129" "2017-12-14" 8 17 44 4 4 4 "CL-S / 2066 / R / 17A" "11.4" 6507.2 3564105.3 21310.4 14880226.8 44915.2 176.1
"335" 335 "Line130" "2017-12-14" 8 17 45 5 3 1 "WF-S / 1126 / R / 17B" "11.5" 2211.5 3891290.3 21481.3 12688098.8 31607.8 165.1
"336" 336 "Raster130" "2017-12-14" 8 17 46 6 4 1 "WF-S / 1126 / R / 17B" "11.5" 1817.5 2997269.5 27678.4 8164777.7 30260.8 124
"337" 337 "Line131" "2017-12-14" 8 17 47 7 3 5 "CL-B / 2089 / R / 17C" "13.2" 14215.3 4091143.6 21563.9 15821259.7 31100 443.5
"338" 338 "Raster131" "2017-12-14" 8 17 48 8 4 5 "CL-B / 2089 / R / 17C" "13.2" 21185.1 3321002.2 22497.7 10778722 48242.1 254.7
"339" 339 "Line132" "2017-12-14" 8 17 49 9 3 3 "EF / 163 / L / 17D" "17" 6143.9 4295336.4 21359.4 28799678.7 64569 191.8
