"order" "type" "day" "sequence" "slide" "ss_order" "sl_order" "status" "treatment" "id_series" "sl" "mg25" "ca48" "mn55" "sr88" "ba138" "pb208"
"39" 39 "Line16" "2017-12-12" 2 2 19 19 3 5 "CL-B / 1077 / R / 2H" "16.5" 3800 3156204.4 22364.1 12251072.9 17597.2 149.5
"40" 40 "Raster16" "2017-12-12" 2 2 20 20 4 5 "CL-B / 1077 / R / 2H" "16.5" 2453.1 2700154.8 22745.1 8919292.4 16232.9 188
"41" 41 "MACS-3 6" "2017-12-12" 2 2 21 21 1 NA NA NA 207228.6 2218767.2 1175120.1 18466958.5 197831.3 157561.1
"42" 42 "Blank6" "2017-12-12" 2 2 22 22 2 NA NA NA 782.9 8227.8 22259.1 7729.6 70.5 38.5
"43" 43 "MACS-3 7" "2017-12-12" 3 3 1 1 1 NA NA NA 164139.1 1727700.7 875750.2 14527702.3 151967.6 117335.7
"44" 44 "Blank7" "2017-12-12" 3 3 2 2 2 NA NA NA 1262.6 7946.9 22612.3 5712.2 72 38.5
"45" 45 "Line17" "2017-12-12" 3 3 3 3 3 8 "AB / 1795 / L / 3A" "12.2" 4718.8 1380926.5 22669.1 5602800.5 13625.2 129
"46" 46 "Raster17" "2017-12-12" 3 3 4 4 4 8 "AB / 1795 / L / 3A" "12.2" 1934.2 73596.7 22461 189397.3 978.2 92.8
"47" 47 "Line18" "2017-12-12" 3 3 5 5 3 5 "CL-B / 1082 / R / 3B" "16.5" 6973.9 2978866.7 22468.7 12533376.1 18276.9 152
"48" 48 "Raster18" "2017-12-12" 3 3 6 6 4 5 "CL-B / 1082 / R / 3B" "16.5" 3484 3036333.9 22669.5 12847274.6 16831.3 133.3
"49" 49 "Line19" "2017-12-12" 3 3 7 7 3 1 "WF-S / 1117 / L / 3C" "12" 3301.6 1770760.3 22433.5 7577072.8 23846.7 230.1
"50" 50 "Raster19" "2017-12-12" 3 3 8 8 4 1 "WF-S / 1117 / L / 3C" "12" 4074 3026561.9 22887.4 10037005.1 11039.9 145
"51" 51 "Line20" "2017-12-12" 3 3 9 9 3 3 "EF / 168 / R / 3D" "16.5" 3761.2 3515661 22349 15615594.4 14711.6 82.9
"52" 52 "Raster20" "2017-12-12" 3 3 10 10 4 3 "EF / 168 / R / 3D" "16.5" 5698.3 2751497 22756.3 12349639.5 16332.9 65.2
"53" 53 "MACS-3 8" "2017-12-12" 3 3 11 11 1 NA NA NA 196074 2173836.3 1081465.2 17465017.1 182075.3 147167.7
"54" 54 "Blank8" "2017-12-12" 3 3 12 12 2 NA NA NA 658.4 8044.2 21712.9 7327.5 68 39.5
"55" 55 "Line21" "2017-12-12" 3 3 13 13 3 2 "WF-B / 1134 / L / 3E" "15" 3194.9 2707962 22017.3 10122400.8 16984 372.7
"56" 56 "Raster21" "2017-12-12" 3 3 14 14 4 2 "WF-B / 1134 / L / 3E" "15" 4036.3 3124704.9 22461.9 11306230.1 12577.1 139.8
