"id" "lake" "stocking" "ecotype" "sex" "maturity" "origin" "analysis" "material" "date" "d18ovsmow_oto" "d18ovpdb_oto" "corrected_d18ovpdb_oto" "distance_oto" "age" "age_int" "tl" "weight"
"33" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-0@5" "LOU-07" "17-11-28" 22.8663751 -7.809387488 -6.809387488 445.6408571 2.09943737 2 456 720
"34" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-0@6" "LOU-07" "17-11-28" 23.05252184 -7.628823285 -6.628823285 557.0510714 2.71675641 2 456 720
"35" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-0@7" "LOU-07" "17-11-28" 22.76307114 -7.909593359 -6.909593359 668.4612857 3.37805337 3 456 720
"36" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-0@8" "LOU-07" "17-11-28" 22.6363117 -8.032551288 -7.032551288 779.8715 4.08672521 4 456 720
"37" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-0@9" "LOU-07" "17-11-28" 23.308536 -7.380486996 -6.380486996 891.2817143 4.87727051 4 456 720
"38" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@0" "LOU-07" "17-11-28" 22.83044329 -7.844241704 -6.844241704 1002.691929 5.75572752 5 456 720
"39" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@1" "LOU-07" "17-11-28" 22.67623593 -7.993824381 -6.993824381 1114.102143 6.735952 6 456 720
"40" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@2" "LOU-07" "17-11-28" 22.23058167 -8.426113478 -7.426113478 1225.512357 7.84684368 7 456 720
"41" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@3" "LOU-07" "17-11-28" 22.52801721 -8.137598023 -7.137598023 1336.922571 9.13935869 9 456 720
"42" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@4" "LOU-07" "17-11-28" 23.13536463 -7.548464954 -6.548464954 1448.332786 10.68633063 10 456 720
"43" "Louisa2012-07SD" "louisa" "O" "P" "male" "mature" "E" "C-1@5" "LOU-07" "17-11-28" 22.19714512 -8.458547263 -7.458547263 1559.743 12.5928269 12 456 720
"44" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@1" "LOU-08" "17-11-28" 21.90819347 -8.73883325 -7.73883325 497.67 2.105807 2 502 1050
"45" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@2" "LOU-08" "17-11-28" 23.12737978 -7.556210335 -6.556210335 605.7572 2.687669 2 502 1050
"46" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@3" "LOU-08" "17-11-28" 22.69020942 -7.980269964 -6.980269964 713.8444001 3.314127 3 502 1050
"47" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@4" "LOU-08" "17-11-28" 23.55806246 -7.138443828 -6.138443828 821.9316001 3.992263 3 502 1050
"48" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@5" "LOU-08" "17-11-28" 22.516539 -8.148732008 -7.148732008 930.0188001 4.781322 4 502 1050
"49" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@6" "LOU-08" "17-11-28" 22.54398691 -8.12210726 -7.12210726 1038.106 5.666246 5 502 1050
"50" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@7" "LOU-08" "17-11-28" 22.52851627 -8.137113936 -7.137113936 1146.1932 6.684535 6 502 1050
"51" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@8" "LOU-08" "17-11-28" 22.59788462 -8.069825936 -7.069825936 1254.2804 7.883472 7 502 1050
"52" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-0@9" "LOU-08" "17-11-28" 22.24754947 -8.409654543 -7.409654543 1362.3676 9.375666 9 502 1050
"53" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-1@0" "LOU-08" "17-11-28" 23.0794707 -7.602682623 -6.602682623 1470.4548 11.294801 11 502 1050
"54" "Louisa2012-08SD" "louisa" "O" "P" "female" "immature" "E" "D-1@1" "LOU-08" "17-11-28" 22.40175682 -8.260071865 -7.260071865 1578.542 12.7 12 502 1050
"55" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@1" "LOU-10" "17-11-28" 21.47800984 -9.156115671 -8.156115671 0 0 0 413 485
"56" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@2" "LOU-10" "17-11-28" 22.07886957 -8.573275724 -7.573275724 118.3446 0.80865891 0 413 485
"57" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@3" "LOU-10" "17-11-28" 23.46723483 -7.226547541 -6.226547541 236.6892 1.6128905 1 413 485
"58" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@4" "LOU-10" "17-11-28" 22.28398033 -8.37431624 -7.37431624 355.0338 2.46839693 2 413 485
"59" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@5" "LOU-10" "17-11-28" 23.41832764 -7.273988002 -6.273988002 473.3784 3.38492346 3 413 485
"60" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@6" "LOU-10" "17-11-28" 22.74360808 -7.928472726 -6.928472726 591.723 4.37347045 4 413 485
"61" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@7" "LOU-10" "17-11-28" 22.52652005 -8.139050282 -7.139050282 710.0676 5.44643377 5 413 485
"62" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@8" "LOU-10" "17-11-28" 22.40125777 -8.260555952 -7.260555952 828.4122 6.61775986 6 413 485
"63" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-0@9" "LOU-10" "17-11-28" 22.34885721 -8.311385017 -7.311385017 946.7568 7.90311683 7 413 485
"64" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-1@0" "LOU-10" "17-11-28" 22.4666337 -8.197140642 -7.197140642 1065.1014 9.34637719 9 413 485
"65" "Louisa2012-10SD" "louisa" "O" "P" "male" "mature" "E" "E-1@1" "LOU-10" "17-11-28" 23.3434697 -7.346600952 -6.346600952 1183.446 10.96133216 10 413 485
"66" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@1" "LOU-13" "17-11-28" 22.62183916 -8.046589792 -7.046589792 0 0 0 451 660
"67" "Louisa2012-13SD" "louisa" "O" "P" "male" "mature" "H" "F-0@2" "LOU-13" "17-11-28" 21.85729007 -8.788210056 -7.788210056 175.6692222 0.83932715 0 451 660
