"id" "type" "sex" "site" "trap" "utm59e" "utm59n" "cluster" "length" "weight" "gonade_w" "srlarvae" "balarvae" "sradult" "baadult" "increment1" "increment2" "increment3" "increment4" "otolithradius" "age"
"31" "L11RY" "Behaviour" "M" "Waipori" NA NA NA NA 56.58 NA NA 0.80116839381846 0.00189616328291828 0.960543378845074 0.00239552565131217 NA NA NA NA NA NA
"32" "L1LO" "Behaviour" "F" "Waipori" NA NA NA NA 45.71 NA NA 0.794363832795886 0.00217138982146584 0.882976035913708 0.00259936573151025 NA NA NA NA NA NA
"33" "D2LO" "Behaviour" "M" "Downstream" NA NA NA "DL" 49.01 NA NA 0.906358806684211 0.00221882308818405 1.36051700285843 0.000906763006620741 NA NA NA NA NA NA
"34" "L6LY" "Behaviour" "M" "Waipori" NA NA NA NA 49.7 NA NA 1.08797404739167 0.00177703699966353 1.40755410698805 0.00256110954876551 NA NA NA NA NA NA
"35" "L9VY" "Behaviour" "F" "Waipori" NA NA NA NA 45.73 NA NA 1.01199531386754 0.0018555650597408 1.19112418133061 0.00437463760123915 NA NA NA NA NA NA
"36" "L3RY" "Behaviour" "F" "Waipori" NA NA NA NA 49.66 NA NA 0.920708313349713 0.0021766002921048 0.989913530790075 0.00338483341537942 NA NA NA NA NA NA
"37" "L3RO" "Behaviour" "F" "Waipori" NA NA NA NA 47.3 NA NA 0.870507875263299 0.00126975829034489 0.842586043001011 0.00206712143420808 NA NA NA NA NA NA
"38" "L3LY" "Behaviour" "M" "Waipori" NA NA NA NA 57.05 NA NA 1.05809356051319 0.00204337230628634 0.668809401129722 0.002579500573087 NA NA NA NA NA NA
"39" "L1RY" "Behaviour" "M" "Waipori" NA NA NA NA 49.58 NA NA 0.816514558133792 0.00219926937586435 0.545575166706648 0.00416899058828939 NA NA NA NA NA NA
"40" "U1NN" "Behaviour" "M" "Upstream" NA NA NA "UL" 44.64 NA NA 0.917744981516868 0.00194416552986306 0.782490917555109 0.00427345635591385 NA NA NA NA NA NA
"41" "L2RO" "Behaviour" "M" "Waipori" NA NA NA NA 48.1 NA NA 1.11002634498425 0.00192170832434364 0.734845473374724 0.00217494586622873 NA NA NA NA NA NA
"42" "L7LO" "Behaviour" "F" "Waipori" NA NA NA NA 47.22 NA NA 0.97617217124896 0.00333515301068952 1.19560288483949 0.00469623804572096 NA NA NA NA NA NA
"43" "L6RY" "Behaviour" "M" "Waipori" NA NA NA NA 56.73 NA NA 1.01957930229645 0.00169207018873343 1.00577386569493 0.00356709870490834 NA NA NA NA NA NA
"44" "L9LO" "Behaviour" "M" "Waipori" NA NA NA NA 49.76 NA NA 0.777838401969661 0.00262981896344853 0.632678403962229 0.00195815797132751 NA NA NA NA NA NA
"45" "L11VY" "Behaviour" "F" "Waipori" NA NA NA NA 48.41 NA NA 0.846615495439657 0.00184967788329658 0.798265034527124 0.0023365106822703 NA NA NA NA NA NA
"46" "L1RO" "Behaviour" "M" "Waipori" NA NA NA NA 50.22 NA NA 0.964791890337607 0.00131063165646882 1.02289770463167 0.00248444906348967 NA NA NA NA NA NA
"47" "L13LO" "Behaviour" "M" "Waipori" NA NA NA NA 55.73 NA NA NA NA NA NA NA NA NA NA NA NA
"48" "L10LO" "Behaviour" "F" "Waipori" NA NA NA NA 56.6 NA NA 0.985462686836902 0.00117141069904113 0.626172217028939 0.00146498672356138 NA NA NA NA NA NA
"49" "L4RO" "Behaviour" "M" "Waipori" NA NA NA NA 50.9 NA NA 0.92141746462981 0.00108509271889545 0.936805352050251 0.00215280104527396 NA NA NA NA NA NA
"50" "L10RO" "Behaviour" "F" "Waipori" NA NA NA NA 48.55 NA NA 1.00134274712663 0.00159088662622997 0.84202278930917 0.00270011136569592 NA NA NA NA NA NA
"51" "L8LO" "Behaviour" "F" "Waipori" NA NA NA NA 47.3 NA NA 0.918543450879759 0.00136409612737064 0.64200590012187 0.00289499842641485 NA NA NA NA NA NA
